"","minuteCount","pickupCount","Date","DOW"
"1",5,3,2018-06-17,"Sunday"
"2",131,54,2018-06-16,"Saturday"
"3",53,46,2018-06-15,"Friday"
"4",195,64,2018-06-14,"Thursday"
"5",91,52,2018-06-13,"Wednesday"
"6",98,53,2018-06-12,"Tuesday"
"7",80,56,2018-06-11,"Monday"
"8",165,69,2018-06-10,"Sunday"
"9",154,71,2018-06-09,"Saturday"
"10",130,49,2018-06-08,"Friday"
"11",320,92,2018-06-07,"Thursday"
"12",196,69,2018-06-06,"Wednesday"
"13",230,110,2018-06-05,"Tuesday"
"14",242,113,2018-06-04,"Monday"
"15",139,81,2018-06-03,"Sunday"
"16",141,65,2018-06-02,"Saturday"
"17",101,54,2018-06-01,"Friday"
"18",109,70,2018-05-31,"Thursday"
"19",83,68,2018-05-30,"Wednesday"
"20",145,71,2018-05-29,"Tuesday"
"21",185,63,2018-05-28,"Monday"
"22",178,70,2018-05-27,"Sunday"
"23",91,53,2018-05-26,"Saturday"
"24",158,55,2018-05-25,"Friday"
"25",179,71,2018-05-24,"Thursday"
"26",190,72,2018-05-23,"Wednesday"
"27",90,51,2018-05-22,"Tuesday"
"28",109,65,2018-05-21,"Monday"
"29",66,45,2018-05-20,"Sunday"
"30",101,38,2018-05-19,"Saturday"
"31",61,30,2018-05-18,"Friday"
"32",36,43,2018-05-17,"Thursday"
"33",136,75,2018-05-16,"Wednesday"
"34",120,45,2018-05-15,"Tuesday"
"35",138,64,2018-05-14,"Monday"
"36",133,47,2018-05-13,"Sunday"
"37",129,45,2018-05-12,"Saturday"
"38",152,55,2018-05-11,"Friday"
"39",136,62,2018-05-10,"Thursday"
"40",136,48,2018-05-09,"Wednesday"
"41",147,61,2018-05-08,"Tuesday"
"42",135,74,2018-05-07,"Monday"
"43",104,47,2018-05-06,"Sunday"
"44",113,49,2018-05-05,"Saturday"
"45",195,52,2018-05-04,"Friday"
"46",126,43,2018-05-03,"Thursday"
"47",103,39,2018-05-02,"Wednesday"
"48",121,70,2018-05-01,"Tuesday"
"49",99,62,2018-04-30,"Monday"
"50",95,46,2018-04-29,"Sunday"
"51",124,56,2018-04-28,"Saturday"
"52",132,72,2018-04-27,"Friday"
"53",124,72,2018-04-26,"Thursday"
"54",113,68,2018-04-25,"Wednesday"
"55",164,48,2018-04-24,"Tuesday"
"56",139,61,2018-04-23,"Monday"
"57",85,40,2018-04-22,"Sunday"
"58",100,49,2018-04-21,"Saturday"
"59",108,71,2018-04-20,"Friday"
"60",132,53,2018-04-19,"Thursday"
"61",99,15,2018-04-18,"Wednesday"
"62",222,74,2018-04-17,"Tuesday"
"63",314,91,2018-04-16,"Monday"
"64",224,67,2018-04-15,"Sunday"
"65",282,80,2018-04-14,"Saturday"
"66",325,49,2018-04-13,"Friday"
"67",286,41,2018-04-12,"Thursday"
"68",386,53,2018-04-11,"Wednesday"
"69",100,44,2018-04-10,"Tuesday"
"70",119,64,2018-04-09,"Monday"
"71",95,55,2018-04-08,"Sunday"
